star_id,star_name
740,Abdul Rahman Abu Al-Qasim
741,Abdul Rahman al Yamani
742,Abdul Rashid Dostum
743,Abdul Rehman Kabuli
744,Abdul Saboor
745,Abdul Samad Al-Awadi
746,Abdulazeem Dulo Harris
747,Abdulaziz Alforehi
748,Abdulaziz Alshehri
749,Abdulaziz Makhyoon
750,Abdulaziz Mohamed
751,Abdulbaset Abdulsamad
752,Abdulelah AlSinani
753,Abdulelah Aljawarneh
754,Abdulhadi El Sabbagh
755,Abdulla Hammadhu
756,Abdullah Afzal
757,Abdullah Ahmad
758,Abdullah Al Sentu
759,Abdullah Al-Jenaibi
760,Abdullah Ali
761,Abdullah Aljafal
762,Abdullah Amer
763,Abdullah Bander
764,Abdullah Bin Haider
765,Abdullah Elfaki
766,Abdullah II King Of Jordan
767,Abdullah Ibrahim
768,Abdullah Malik
769,Abdullah Masoud
770,Abdullah Muhammad
771,Abdullah Ouro Agouda
772,Abdullah Saeed
773,Abdullah Wasi
774,Abdullah Yusuf Azzam
775,Abdullah the Butcher
776,Abdullrahman Al Gohani
777,Abdulmalik Bander
778,Abdulmohsen Alnemr
779,Abdulmoumen Ali
780,Abdulrahman Saleh
781,Abdulsalam El-Nabulsi
782,Abdulwareth Asar
783,Abdumalik Bander
784,Abdur Razzak
785,Abdur-Rahman Muhammad
786,Abdurashid Makhsudov
787,Abdurrahim Albayrak
788,Abdurrahman Arif
789,Abdurrahman Gönan
790,Abdurrahman Shala
791,Abdülkerim Durmaz
792,Abe Belardo
793,Abe Biderman
794,Abe Bueno-Jallad
795,Abe Forsythe
796,Abe Goldfarb
797,Abe Jarman
798,Abe Perez
799,Abe Ruthless
800,Abe Vigoda
801,Abebe Bikila
802,Abed Fahed
803,Abed Gheith
804,Abee Sargis
805,Abeer Issa
806,Abeer Otham Thaneb
807,Abeer Soofi
808,Abeille Gélinas
809,Abel
810,Abel Abebe
811,Abel Ayala
812,Abel Azcona
813,Abel Balbo
814,Abel Becerra
815,Abel Borba
816,Abel Cureño
817,Abel Dolz Doval
818,Abel Ferrara
819,Abel Folk
820,Abel Gance
821,Abel Ghirmay
822,Abel Jacquin
823,Abel Jafri
824,Abel Jurado
825,Abel Lysenko
826,Abel Morrison
827,Abel Salazar
828,Abel Sanchez
829,Abel Sanztin
830,Abel Tripaldi
831,Abel van Gijlswijk
832,Abelardo Campuzano
833,Abella Anderson
834,Abella Bala
835,Abella Danger
836,Abena Ayivor
837,Abey Ghifran
838,Abha Dhulia
839,Abha Parmar
840,Abha Paul
841,Abhay Bhargava
842,Abhay Deol
843,Abhay Joshi
844,Abhay Kulkarni
845,Abhay Kumar
846,Abhay Mahajan
847,Abhay Shankar Dubey
848,Abhay Verma
849,Abhedya Gupte
850,Abhi
851,Abhi Bhattacharya
852,Abhi Brar
853,Abhi Dutt
854,Abhi Malek
855,Abhi Panyam
856,Abhi Sharma
857,Abhignya Vuthaluru
858,Abhijeet
859,Abhijeet Amkar
860,Abhijeet Khandkekar
861,Abhijeet Shirish Deshpande
862,Abhijeet Singh
863,Abhijit Bhonsale
864,Abhijit Chavda
865,Abhikalp Gagdekar
866,Abhilash
867,Abhilash Bandari
868,Abhilash Chaudhary
